Product_ID,Product_Name,Category,Screen_Size,Resolution,Panel_Type,Price_USD,MSRP_USD,Cost_USD,Margin_Percent,Weight_LBS,Dimensions,HDR_Support,Smart_TV,Refresh_Rate,Release_Year,Warranty_Years,Energy_Rating,Stock_Status
PROJECTOR-75-00000,"Projector 75"" - Model 00000",Projector,75,4K UHD,Laser,583.77,730.97,335.57,43.0,66.4,66.8x38.2x2.3,Yes,Yes,60Hz,2023,2,A+,In Stock
LCD-TV-40-00001,"LCD TV 40"" - Model 00001",LCD TV,40,1440p,DLP,595.75,708.04,367.31,38.0,43.0,35.6x20.4x4.0,N/A,N/A,240Hz,2024,2,B+,Pre-order
PROJECTOR-50-00002,"Projector 50"" - Model 00002",Projector,50,1440p,N/A,459.74,512.87,244.68,47.0,50.6,44.5x25.5x4.2,No,No,N/A,2024,2,B+,In Stock
COMPUTER-MONITOR-43-00003,"Computer Monitor 43"" - Model 00003",Computer Monitor,43,720p,VA,622.81,763.13,399.53,36.0,45.7,38.3x21.9x2.4,Yes,Yes,120Hz,2023,2,N/A,In Stock
QLED-TV-45-00004,"QLED TV 45"" - Model 00004",QLED TV,45,8K UHD,Laser,1218.99,1475.6,699.16,43.0,44.4,40.0x22.9x3.4,No,No,75Hz,2024,5,A++,In Stock
COMMERCIAL-DISPLAY-43-00005,"Commercial Display 43"" - Model 00005",Commercial Display,43,8K UHD,VA,1069.49,1304.07,580.45,46.0,48.6,38.3x21.9x3.4,N/A,N/A,120Hz,2024,2,A+,In Stock
LCD-TV-85-00006,"LCD TV 85"" - Model 00006",LCD TV,85,8K UHD,IPS,860.83,1040.76,444.08,48.0,73.8,75.7x43.4x3.5,Yes,Yes,165Hz,2023,2,B+,In Stock
PROJECTOR-40-00007,"Projector 40"" - Model 00007",Projector,40,8K UHD,Laser,689.66,796.59,413.74,40.0,38.0,35.6x20.4x3.4,Yes,No,120Hz,2024,2,N/A,Limited
PROJECTOR-70-00008,"Projector 70"" - Model 00008",Projector,70,4K UHD,LCD,510.04,655.4,335.85,34.0,69.7,62.3x35.7x3.0,N/A,Yes,240Hz,2023,3,N/A,In Stock
ACCESSORIES-0-00009,Accessories - SKU 00009,Accessories,0,720p,N/A,260.02,302.34,160.41,38.0,5.5,N/A,N/A,N/A,75Hz,2024,2,A+++,In Stock
